author,publications
Dusit Niyato,65
Zibin Zheng,57
Xiaoqi Li,37
Yang Liu,32
Raja Jurdak,31
Lei Zhang,30
Jiawen Kang,30
Jiajing Wu,28
Xiapu Luo,28
Minghui Xu,26
Xiuzhen Cheng,26
Qin Wang,25
Roger Wattenhofer,25
Arthur Gervais,25
Zehui Xiong,24
Benjamin Livshits,24
Ivan Homoliak,24
Shengli Zhang,23
Luyao Zhang,23
Jun Zhao,22
Hao Wang,22
Jiahua Xu,21
Shiping Chen,20
Aggelos Kiayias,20
Yang Li,19
David Tse,19
Qin Hu,19
Alberto Sonnino,19
Sreeram Kannan,19
J. Wang,18
Taotao Wang,18
Y. Liu,18
Xi Chen,18
Salil S. Kanhere,18
Wei Chen,18
Liyi Zhou,18
Qinghua Lu,18
Xin Wang,17
Qi Xuan,17
Ming Ding,17
Faisal Haque Bappy,17
Kaihua Qin,17
Sujit Gujar,17
Chen Feng,17
Chao Li,17
Huawei Huang,16
Tariqul Islam,16
Claudio J. Tessone,16
Jiangshan Yu,16
Fan Zhang,16
